ol,stock,species,long,lat
76,WCVI - Odd & Even,pink,-126.2368262,49.462714
77,Areas 11 to 13 - Odd & Even,pink,-125.7133601,51.016896
79,Georgia Strait - East - Odd & Even,pink,-124.1680968,50.139904
80,Areas 7 to 10 - Odd & Even,pink,-127.6327061,52.607216
81,North Coast Areas 3 to 6 - Odd & Even,pink,-128.1531337,55.472275
82,Haida Gwaii - Odd & Even,pink,-132.1105064,53.164557
78,Georgia Strait - West - Odd & Even,pink,-124.5227279,49.240158
