ol,stock,species,long,lat
74,Fraser - Odd only,pink,-122.62194,52.20864498
75,Squamish - Odd only,pink,-124.1256536,49.7403935
76,WCVI - Odd & Even,pink,-125.7068303,49.39032056
77,Areas 11 to 13 - Odd & Even,pink,-126.0083758,50.71519864
78,Georgia Strait - West - Odd & Even,pink,-126.3083391,50.24882411
79,Georgia Strait - East - Odd & Even,pink,-123.2,49.4
80,Areas 7 to 10 - Odd & Even,pink,-125.9898319,51.89817311
81,North Coast Areas 3 to 6 - Odd & Even,pink,-128.8509552,54.4317274
82,Haida Gwaii - Odd & Even,pink,-132.2161785,53.38676758
